p1x,p1y,p1sx,p1sy,p1a,p1wx,p1wy,tf1,pf1,p2x,p2y,p2sx,p2sy,p2a,p2wx,p2wy,tf2,pf2,p3x,p3y,p3sx,p3sy,p3a,p3wx,p3wy,tf3,pf3,p4x,p4y,p4sx,p4sy,p4a,p4wx,p4wy,tf4,pf4,p1tx,p1ty,p1t,p2tx,p2ty,p2t
6288,2604,-44,-500,-0.6589314078229217,7819,839,1,1,6948,4967,-247,-772,-1.1353165787611623,6321,4317,1,0,5098,3631,-254,-86,-1.0472035096160925,7819,839,0,0,11132,6568,-387,-312,-1.850042403688666,6321,4317,0,0,79412,-63282,200,14621,-93371,0
6293,2086,4,-439,-0.3447721424639424,7819,839,1,1,6829,4041,-101,-786,-0.8752900998980138,7819,839,1,0,4993,3411,-89,-186,-0.7330442442571132,7819,839,0,0,10745,6256,-328,-265,-1.5358992038207826,6321,4317,0,0,96347,-37262,200,44946,-87713,0
6480,1641,158,-377,-0.030612877104963077,7819,839,1,1,6728,3255,-85,-668,-0.5611308345390345,7819,839,1,0,5087,3144,79,-227,-0.4188849788981339,7819,839,0,0,10417,5991,-278,-225,-1.2217399384618033,6321,4317,0,0,96441,-37529,200,71983,-72810,0
6759,1299,237,-290,0.28354638825401624,7819,839,1,1,6780,2553,43,-597,-0.24697156918005514,7819,839,1,0,5349,2836,222,-262,-0.4188751715205577,7819,839,0,0,10139,5766,-236,-191,-0.907580673102824,6321,4317,0,0,79663,-64077,200,71705,-73035,0
7161,1122,341,-150,0.5977056536129955,7819,839,1,1,7020,1969,203,-496,0.06718769617892417,7819,839,1,0,5720,2440,315,-336,-0.733034436879537,7819,839,0,0,9903,5575,-200,-162,-0.9075719096439583,6321,4317,0,0,97074,-38233,0,44104,-88394,0
7707,762,474,-353,0.9118649189719749,7668,5952,1,1,7140,1841,91,-61,0.3813469615379035,7819,839,1,0,6035,2104,267,-285,-0.4188751715205577,7819,839,0,0,9703,5413,-170,-137,-1.2217311750029376,6321,4317,0,0,105487,-8348,200,43904,-88556,0
8249,597,460,-140,1.2260241843309543,7668,5952,1,1,7301,1775,410,-77,0.06718769617892417,7819,839,1,0,6430,1804,63,-234,-0.10471590616157839,7819,839,0,0,9533,5276,-144,-116,-1.2217391116939638,6321,4317,0,0,105882,-8648,200,43734,-88693,0
8715,657,396,50,1.5401834496899336,7668,5952,1,1,7711,1698,348,-65,-0.24697156918005514,7819,839,1,0,6692,1549,222,-216,-0.10471153631184203,7819,839,0,0,9389,5160,-122,-98,-1.2217391116939638,6321,4317,0,0,104506,22340,200,70955,-73641,0
9055,899,289,205,1.854342715048913,7668,5952,1,1,8059,1633,295,-55,-0.5611308345390345,7819,839,1,0,7110,1375,354,-148,0.209439436650829,7819,839,0,0,9267,5062,-103,-83,-0.9075798463349845,6321,4317,0,0,93712,51374,200,70833,-73739,0
9258,1285,172,327,2.0152155366959956,7668,5952,0,0,8394,1591,437,15,-0.8752900998980138,7819,839,0,0,7597,1314,261,-102,0.523592817178804,7668,5952,1,1,9164,4979,-87,-70,-0.9075719096439583,6321,4317,1,0,74510,75628,200,92067,-50940,0
9680,1731,450,358,1.8890691841779705,7668,5952,0,0,8702,1745,278,192,-1.189449365256993,7819,839,0,0,7808,1292,71,-58,0.8377520825377833,7668,5952,1,1,9077,4909,-73,-59,-0.5934137731252123,6321,4317,1,0,48481,92646,200,105203,-22654,0
10012,2250,282,441,2.20322844953695,7668,5952,1,1,8980,1937,236,163,-1.5036086306159724,7819,839,1,0,7960,1417,129,106,1.1519113478967626,7668,5952,0,0,9004,4850,-62,-50,-0.27925450776623295,6321,4317,0,0,18412,100869,200,91907,-51069,200
10132,2808,101,474,2.5173877148959294,7668,5952,1,1,9169,1912,160,-21,-1.8177678959749517,7819,839,1,0,8110,1722,127,259,1.466070613255742,7668,5952,0,0,9108,4688,88,-137,-0.5934137731252123,6321,4317,0,0,-12681,99536,200,92011,-51231,200
10043,3343,-76,454,2.8315469802549087,7668,5952,1,1,9223,1722,45,-161,-2.1319271613339312,7819,839,1,0,8195,2177,72,386,1.7802298786147213,7668,5952,0,0,9362,4439,215,-211,-0.5934137731252123,6321,4317,0,0,-12596,99991,200,70928,-74362,200
10011,3734,16,270,2.5173877148959294,7668,5952,1,1,9114,1433,-92,-245,-2.4460864266929105,7819,839,1,0,8225,2759,25,494,1.7802357634457258,7668,5952,0,0,9259,4700,-520,840,-0.9075719096439583,6321,4317,0,0,-41774,89361,200,70825,-74101,200
